ID,Type,Artikelnummer,Naam,Gepubliceerd,Uitgelicht?,"Zichtbaarheid in catalogus","Korte beschrijving",Beschrijving,"Startdatum actieprijs","Einddatum actieprijs","Btw status",Belastingklasse,"Op voorraad?",Voorraad,"Lage voorraad","Nabestellingen toestaan?","Wordt individueel verkocht?","Gewicht (kg)","Lengte (cm)","Breedte (cm)","Hoogte (cm)","Klantbeoordelingen toestaan?",Aankoopnotitie,Actieprijs,"Reguliere prijs",Categorieën,Tags,Verzendklasse,Afbeeldingen,Downloadlimiet,"Dagen vervaltijd download",Hoofd,"Gegroepeerde producten",Upsells,Cross-sells,"Externe URL","Knop tekst",Positie
10325,simple,,"KLAS SARAJEVO MEEL 1KG",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"2,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/KLAS-SARAJEVO-MEEL-1KG.jpg,,,,,,,,,0
10327,simple,,"EUROVAFEL 180G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Eurovafel-Black-180g.jpg,,,,,,,,,0
10329,simple,,"BANANKO MINI 120G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,75","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/BANANKO-MINI.webp,,,,,,,,,0
10331,simple,,"KARAMELA SNOEP",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/KARAMELA-SNOEP.webp,,,,,,,,,0
10333,simple,,"NEGRO SNOEPJES 100G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"0,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/NEGRO-SNOEP.webp,,,,,,,,,0
10335,simple,,"DELA TERA KIPPENVLEES 150G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/images.jpg,,,,,,,,,0
10336,simple,,"CAYKUR CAY CICEGI 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/CAYKUR-CAY-CICEGI-500G.jpg,,,,,,,,,0
10339,simple,,"Argeta TONIJN 95g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ARGETA-HARISSA.webp,,,,,,,,,0
10340,simple,,"CAYKUR RIZE 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/CAYKUR-RIZE-500G.png,,,,,,,,,0
10342,simple,,"TANYA CEYLONE 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"4,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/TANYA-CEYLONE-500G.webp,,,,,,,,,0
10344,simple,,ARGETA,'-1,0,visible,"<p><br data-mce-bogus=""1""></p>",,,,taxable,,1,,,0,0,,,,,1,,,,"Alle producten",,,,,,,,,,,,0
10346,simple,,"TANYA CEYLON 1000G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"9,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/TANYA-CEYLONE-1000G.jpg,,,,,,,,,0
10348,simple,,"MEVLANA 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"8,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/MEVLANA-500G.jpg,,,,,,,,,0
10350,simple,,"MEVLANA 1000G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"15,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/TANYA-CEYLONE-1000G-1.jpg,,,,,,,,,0
10353,simple,,"SUNTAT ALICE 1000G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"14,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Suntat-alice-1000g.png,,,,,,,,,0
10355,simple,,"Argeta VEGGIE Rode paprika 95g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/ARGETA-RODE-PAPRIKA.jpg,,,,,,,,,0
10356,simple,,"SUNTAT ALICE 500G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"8,99","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/Suntat-alice-1000g.png,,,,,,,,,0
10357,simple,,"KHARTA YERBA MATE 250G",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"3,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/MATE.jpg,,,,,,,,,0
10360,simple,,"Argeta VEGGIE Kikkererwten 95g",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,"1,49","Alle producten, Verse kruiden",,,https://ankaramarket.nl/wp-content/uploads/2024/11/argetaveggie_grande.webp,,,,,,,,,0
